Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu4,481380,276648,-134,0,0,481300,0,80,0,0,0,0,0
cpu4,481430,293162,-152,0,0,481430,0,0,0,0,0,0,1
cpu4,485620,302074,-27,0,0,485620,0,0,0,0,0,0,2
cpu4,484350,276170,-149,0,0,484350,0,0,0,0,0,0,3
cpu4,484110,285575,-130,0,0,484110,0,0,0,0,0,0,4
cpu4,483740,282968,-129,0,0,483740,0,0,0,0,0,0,5
cpu4,484010,279178,-114,0,0,484010,0,0,0,0,0,0,6
cpu4,481300,288786,-134,0,0,481300,0,0,0,0,0,0,7
cpu4,483050,270932,-115,0,0,483050,0,0,0,0,0,0,8
cpu4,484100,284264,-111,0,0,484100,0,0,0,0,0,0,9
