Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu7,481370,307864,-124,0,0,481290,0,80,0,0,0,0,0
cpu7,481430,322452,-152,0,0,481430,0,0,0,0,0,0,1
cpu7,485620,312932,-27,0,0,485620,0,0,0,0,0,0,2
cpu7,484350,313153,-149,0,0,484350,0,0,0,0,0,0,3
cpu7,484110,307171,-130,0,0,484110,0,0,0,0,0,0,4
cpu7,483740,304364,-129,0,0,483740,0,0,0,0,0,0,5
cpu7,484010,330225,-114,0,0,484010,0,0,0,0,0,0,6
cpu7,481300,311323,-134,0,0,481300,0,0,0,0,0,0,7
cpu7,483050,308514,-115,0,0,483050,0,0,0,0,0,0,8
cpu7,484100,303566,-111,0,0,484100,0,0,0,0,0,0,9
