Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu6,481370,298456,-124,0,0,481290,0,80,0,0,0,0,0
cpu6,481430,284191,-152,0,0,481430,0,0,0,0,0,0,1
cpu6,485630,316112,-37,0,0,485630,0,0,0,0,0,0,2
cpu6,484350,310514,-149,0,0,484350,0,0,0,0,0,0,3
cpu6,484120,295517,-140,0,0,484120,0,0,0,0,0,0,4
cpu6,483740,309651,-129,0,0,483740,0,0,0,0,0,0,5
cpu6,484010,314703,-114,0,0,484010,0,0,0,0,0,0,6
cpu6,481290,289393,-124,0,0,481290,0,0,0,0,0,0,7
cpu6,483050,315403,-115,0,0,483050,0,0,0,0,0,0,8
cpu6,484100,319913,-111,0,0,484100,0,0,0,0,0,0,9
