Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu2,481370,471330,-124,0,0,481270,0,100,0,0,0,0,0
cpu2,481430,490890,-152,0,0,481430,0,0,0,0,0,0,1
cpu2,485620,482181,-27,0,0,485620,0,0,0,0,0,0,2
cpu2,484350,486806,-149,0,0,484350,0,0,0,0,0,0,3
cpu2,484120,483154,-140,0,0,484120,0,0,0,0,0,0,4
cpu2,483740,485549,-129,0,0,483740,0,0,0,0,0,0,5
cpu2,484020,478641,-124,0,0,484020,0,0,0,0,0,0,6
cpu2,481290,483485,-124,0,0,481290,0,0,0,0,0,0,7
cpu2,483040,485187,-105,0,0,483040,0,0,0,0,0,0,8
cpu2,484100,484790,-111,0,0,484100,0,0,0,0,0,0,9
