Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu3,481380,471374,-134,0,0,481290,0,90,0,0,0,0,0
cpu3,481420,490908,-142,0,0,481420,0,0,0,0,0,0,1
cpu3,485630,482199,-37,0,0,485630,0,0,0,0,0,0,2
cpu3,484350,481244,-149,0,0,484350,0,0,0,0,0,0,3
cpu3,484120,488891,-140,0,0,484120,0,0,0,0,0,0,4
cpu3,483740,480878,-129,0,0,483740,0,0,0,0,0,0,5
cpu3,484020,483703,-124,0,0,484020,0,0,0,0,0,0,6
cpu3,481300,482745,-134,0,0,481300,0,0,0,0,0,0,7
cpu3,483040,486043,-105,0,0,483040,0,0,0,0,0,0,8
cpu3,484100,480878,-111,0,0,484100,0,0,0,0,0,0,9
