Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu5,481380,308783,-134,0,0,481300,0,80,0,0,0,0,0
cpu5,481420,307425,-142,0,0,481420,0,0,0,0,0,0,1
cpu5,485630,285740,-37,0,0,485630,0,0,0,0,0,0,2
cpu5,484350,308814,-149,0,0,484350,0,0,0,0,0,0,3
cpu5,484110,325743,-130,0,0,484110,0,0,0,0,0,0,4
cpu5,483740,316073,-129,0,0,483740,0,0,0,0,0,0,5
cpu5,484010,279708,-114,0,0,484010,0,0,0,0,0,0,6
cpu5,481290,314480,-124,0,0,481290,0,0,0,0,0,0,7
cpu5,483050,316151,-115,0,0,483050,0,0,0,0,0,0,8
cpu5,484100,307413,-111,0,0,484100,0,0,0,0,0,0,9
