Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu0,481370,477886,-124,0,0,481240,0,130,0,0,0,0,0
cpu0,481430,478719,-152,0,0,481430,0,0,0,0,0,0,1
cpu0,485620,482357,-27,0,0,485620,0,0,0,0,0,0,2
cpu0,484350,481161,-149,0,0,484350,0,0,0,0,0,0,3
cpu0,484120,481403,-140,0,0,484120,0,0,0,0,0,0,4
cpu0,483740,481158,-129,0,0,483740,0,0,0,0,0,0,5
cpu0,484020,480790,-124,0,0,484020,0,0,0,0,0,0,6
cpu0,481280,478914,-114,0,0,481280,0,0,0,0,0,0,7
cpu0,483050,480161,-115,0,0,483050,0,0,0,0,0,0,8
cpu0,484100,480966,-111,0,0,484100,0,0,0,0,0,0,9
