Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu5,156490,92278,-53,0,0,1030,2400,1800,600,600,1000,149060,0
cpu5,156700,98027,-54,0,0,790,2400,2000,600,600,600,149710,1
cpu5,156510,95873,-47,0,0,840,1800,1200,400,400,600,151270,2
cpu5,161940,106138,21,0,0,2900,6930,4900,1200,1400,1200,143410,3
cpu5,157320,89694,-42,0,0,1160,2400,1800,600,800,600,149960,4
cpu5,155990,83339,-43,0,0,740,1600,1200,400,400,400,151250,5
cpu5,157120,104148,-35,0,0,1260,2400,1800,610,590,600,149860,6
cpu5,161840,99408,43,0,0,3560,6300,3940,1600,1400,1400,143640,7
cpu5,156910,97948,-43,0,0,540,2400,1800,610,590,600,150370,8
cpu5,156640,98057,-42,0,0,970,1600,1200,400,400,400,151670,9
