Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu2,156490,153875,-53,0,0,1030,2400,1800,600,600,1000,149060,0
cpu2,156700,158272,-54,0,0,790,2400,2000,600,600,600,149710,1
cpu2,156500,154875,-37,0,0,840,1800,1200,400,400,600,151260,2
cpu2,161940,161610,21,0,0,2900,6930,4900,1200,1400,1200,143410,3
cpu2,157310,156171,-32,0,0,1160,2400,1800,600,800,600,149950,4
cpu2,155990,155427,-43,0,0,740,1600,1200,400,400,400,151250,5
cpu2,157130,156447,-45,0,0,1260,2400,1800,610,590,600,149870,6
cpu2,161840,161405,43,0,0,3560,6300,3940,1600,1400,1400,143640,7
cpu2,156910,155441,-43,0,0,540,2400,1800,610,590,600,150370,8
cpu2,156640,154490,-42,0,0,970,1600,1200,400,400,400,151670,9
