Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu7,156490,111144,-53,0,0,1030,2400,1800,600,600,1000,149060,0
cpu7,156710,111990,-64,0,0,790,2400,2000,600,600,600,149720,1
cpu7,156500,100587,-37,0,0,840,1800,1200,400,400,600,151260,2
cpu7,161940,101888,21,0,0,2900,6930,4900,1200,1400,1200,143410,3
cpu7,157320,104194,-42,0,0,1160,2400,1800,600,800,600,149960,4
cpu7,155990,100185,-43,0,0,740,1600,1200,400,400,400,151250,5
cpu7,157120,110405,-35,0,0,1260,2400,1800,610,590,600,149860,6
cpu7,161830,112203,53,0,0,3560,6300,3940,1600,1400,1400,143630,7
cpu7,156910,110234,-43,0,0,540,2400,1800,610,590,600,150370,8
cpu7,156630,104810,-32,0,0,970,1600,1200,400,400,400,151660,9
