Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu3,156500,153092,-63,0,0,1030,2400,1800,600,600,1000,149070,0
cpu3,156690,159753,-44,0,0,790,2400,2000,600,600,600,149700,1
cpu3,156510,150232,-47,0,0,840,1800,1200,400,400,600,151270,2
cpu3,161950,165599,11,0,0,2900,6930,4900,1200,1400,1200,143420,3
cpu3,157320,154542,-42,0,0,1160,2400,1800,600,800,600,149960,4
cpu3,156000,155823,-53,0,0,740,1600,1200,400,400,400,151260,5
cpu3,157120,156826,-35,0,0,1260,2400,1800,610,590,600,149860,6
cpu3,161840,161880,43,0,0,3560,6300,3940,1600,1400,1400,143640,7
cpu3,156900,154763,-33,0,0,540,2400,1800,610,590,600,150360,8
cpu3,156630,157832,-32,0,0,970,1600,1200,400,400,400,151660,9
