Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu6,156490,109789,-53,0,0,1030,2400,1800,600,600,1000,149060,0
cpu6,156700,95617,-54,0,0,790,2400,2000,600,600,600,149710,1
cpu6,156510,108142,-47,0,0,840,1800,1200,400,400,600,151270,2
cpu6,161940,107153,21,0,0,2900,6930,4900,1200,1400,1200,143410,3
cpu6,157320,110243,-42,0,0,1160,2400,1800,600,800,600,149960,4
cpu6,155990,113770,-43,0,0,740,1600,1200,400,400,400,151250,5
cpu6,157120,90104,-35,0,0,1260,2400,1800,610,590,600,149860,6
cpu6,161840,113551,43,0,0,3560,6300,3940,1600,1400,1400,143640,7
cpu6,156910,94498,-43,0,0,540,2400,1800,610,590,600,150370,8
cpu6,156630,102484,-32,0,0,970,1600,1200,400,400,400,151660,9
