Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu4,156490,85565,-53,0,0,1030,2400,1800,600,600,1000,149060,0
cpu4,156700,92610,-54,0,0,790,2400,2000,600,600,600,149710,1
cpu4,156500,94185,-37,0,0,840,1800,1200,400,400,600,151260,2
cpu4,161940,97149,21,0,0,2900,6930,4900,1200,1400,1200,143410,3
cpu4,157320,97011,-42,0,0,1160,2400,1800,600,800,600,149960,4
cpu4,155990,100267,-43,0,0,740,1600,1200,400,400,400,151250,5
cpu4,157120,96062,-35,0,0,1260,2400,1800,610,590,600,149860,6
cpu4,161830,86647,53,0,0,3560,6300,3940,1600,1400,1400,143630,7
cpu4,156910,97824,-43,0,0,540,2400,1800,610,590,600,150370,8
cpu4,156630,92383,-32,0,0,970,1600,1200,400,400,400,151660,9
