Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu0,156500,154835,-63,0,0,1030,2400,1800,600,600,1000,149070,0
cpu0,156700,155444,-54,0,0,790,2400,2000,600,600,600,149710,1
cpu0,156500,154939,-37,0,0,840,1800,1200,400,400,600,151260,2
cpu0,161950,160455,11,0,0,2900,6930,4900,1200,1400,1200,143420,3
cpu0,157320,155992,-42,0,0,1160,2400,1800,600,800,600,149960,4
cpu0,155990,154456,-43,0,0,740,1600,1200,400,400,400,151250,5
cpu0,157120,155894,-35,0,0,1260,2400,1800,610,590,600,149860,6
cpu0,161840,159723,43,0,0,3560,6300,3940,1600,1400,1400,143640,7
cpu0,156910,154939,-43,0,0,540,2400,1800,610,590,600,150370,8
cpu0,156630,155209,-32,0,0,970,1600,1200,400,400,400,151660,9
