Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,200000,400000,533333,800000,998400,1094400,1152000,1209600,Launch Number
cpu0,472140,210792,-32,0,0,0,0,0,0,0,0,0,472140,0
cpu0,469030,194754,-13,0,0,0,0,0,0,0,0,0,469030,1
cpu0,469190,226735,-31,0,0,0,0,0,0,0,0,0,469190,2
cpu0,469120,204208,-17,0,0,0,0,0,0,0,0,0,469120,3
cpu0,468340,187214,-19,0,0,0,0,0,0,0,0,0,468340,4
cpu0,468290,191870,-17,0,0,0,0,0,0,0,0,0,468290,5
cpu0,470600,189337,-21,0,0,0,0,0,0,0,0,0,470600,6
cpu0,467620,194176,-23,0,0,0,0,0,0,0,0,0,467620,7
cpu0,468400,161000,-26,0,0,0,0,0,0,0,0,0,468400,8
cpu0,469030,187420,-18,0,0,0,0,0,0,0,0,0,469030,9
