Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,200000,400000,533333,800000,998400,1094400,1152000,1209600,Launch Number
cpu3,472130,468861,-22,0,0,0,0,0,0,0,0,0,472130,0
cpu3,469030,466327,-13,0,0,0,0,0,0,0,0,0,469030,1
cpu3,469180,471633,-21,0,0,0,0,0,0,0,0,0,469180,2
cpu3,469120,468376,-17,0,0,0,0,0,0,0,0,0,469120,3
cpu3,468350,460240,-29,0,0,0,0,0,0,0,0,0,468350,4
cpu3,468290,474979,-17,0,0,0,0,0,0,0,0,0,468290,5
cpu3,470600,467230,-21,0,0,0,0,0,0,0,0,0,470600,6
cpu3,467610,464863,-13,0,0,0,0,0,0,0,0,0,467610,7
cpu3,468390,465338,-16,0,0,0,0,0,0,0,0,0,468390,8
cpu3,469030,471216,-18,0,0,0,0,0,0,0,0,0,469030,9
