Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,200000,400000,533333,800000,998400,1094400,1152000,1209600,Launch Number
cpu1,472130,179946,-22,0,0,0,0,0,0,0,0,0,472130,0
cpu1,469040,200325,-23,0,0,0,0,0,0,0,0,0,469040,1
cpu1,469180,168241,-21,0,0,0,0,0,0,0,0,0,469180,2
cpu1,469130,191522,-27,0,0,0,0,0,0,0,0,0,469130,3
cpu1,468340,208446,-19,0,0,0,0,0,0,0,0,0,468340,4
cpu1,468290,204362,-17,0,0,0,0,0,0,0,0,0,468290,5
cpu1,470610,206205,-31,0,0,0,0,0,0,0,0,0,470610,6
cpu1,467620,202260,-23,0,0,0,0,0,0,0,0,0,467620,7
cpu1,468390,234136,-16,0,0,0,0,0,0,0,0,0,468390,8
cpu1,469030,206771,-18,0,0,0,0,0,0,0,0,0,469030,9
