Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu7,156330,104986,-65,0,0,10,0,0,0,0,0,156320,0
cpu7,156280,107969,-47,0,0,0,0,0,0,0,0,156280,1
cpu7,155980,117926,101,0,0,160,0,0,0,0,0,155820,2
cpu7,154980,124621,-42,0,0,10,0,0,0,0,0,154970,3
cpu7,155240,115660,-48,0,0,0,0,0,0,0,0,155240,4
cpu7,154700,106356,-40,0,0,0,0,0,0,0,0,154700,5
cpu7,154940,116626,-36,0,0,0,0,0,0,0,0,154940,6
cpu7,155090,111345,-39,0,0,10,0,0,0,0,0,155080,7
cpu7,154450,105342,-35,0,0,10,0,0,0,0,0,154440,8
cpu7,155030,106732,-38,0,0,0,0,0,0,0,0,155030,9
