Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu4,156330,101566,-65,0,0,10,0,0,0,0,0,156320,0
cpu4,156290,90607,-57,0,0,0,0,0,0,0,0,156290,1
cpu4,155970,95764,111,0,0,160,0,0,0,0,0,155810,2
cpu4,154980,91459,-42,0,0,10,0,0,0,0,0,154970,3
cpu4,155230,84709,-38,0,0,0,0,0,0,0,0,155230,4
cpu4,154700,94373,-40,0,0,0,0,0,0,0,0,154700,5
cpu4,154940,98942,-36,0,0,0,0,0,0,0,0,154940,6
cpu4,155090,101783,-39,0,0,10,0,0,0,0,0,155080,7
cpu4,154450,92977,-35,0,0,10,0,0,0,0,0,154440,8
cpu4,155030,100725,-38,0,0,0,0,0,0,0,0,155030,9
