Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu6,156330,93169,-65,0,0,10,0,0,0,0,0,156320,0
cpu6,156290,105874,-57,0,0,0,0,0,0,0,0,156290,1
cpu6,155970,105050,111,0,0,160,0,0,0,0,0,155810,2
cpu6,154980,93043,-42,0,0,10,0,0,0,0,0,154970,3
cpu6,155230,106010,-38,0,0,0,0,0,0,0,0,155230,4
cpu6,154700,102282,-40,0,0,0,0,0,0,0,0,154700,5
cpu6,154950,98397,-46,0,0,0,0,0,0,0,0,154950,6
cpu6,155090,92660,-39,0,0,10,0,0,0,0,0,155080,7
cpu6,154450,103569,-35,0,0,10,0,0,0,0,0,154440,8
cpu6,155020,104400,-28,0,0,0,0,0,0,0,0,155020,9
