Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu3,156340,152366,-75,0,0,10,0,0,0,0,0,156330,0
cpu3,156280,156297,-47,0,0,0,0,0,0,0,0,156280,1
cpu3,155970,155167,111,0,0,160,0,0,0,0,0,155810,2
cpu3,154990,155296,-52,0,0,10,0,0,0,0,0,154980,3
cpu3,155240,155295,-48,0,0,0,0,0,0,0,0,155240,4
cpu3,154700,154812,-40,0,0,0,0,0,0,0,0,154700,5
cpu3,154950,154888,-46,0,0,0,0,0,0,0,0,154950,6
cpu3,155090,152075,-39,0,0,10,0,0,0,0,0,155080,7
cpu3,154450,154218,-35,0,0,10,0,0,0,0,0,154440,8
cpu3,155020,156287,-28,0,0,0,0,0,0,0,0,155020,9
