Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu1,156340,152634,-75,0,0,10,0,0,0,0,0,156330,0
cpu1,156280,158290,-47,0,0,0,0,0,0,0,0,156280,1
cpu1,155970,153920,111,0,0,160,0,0,0,0,0,155810,2
cpu1,154980,154126,-42,0,0,10,0,0,0,0,0,154970,3
cpu1,155240,154283,-48,0,0,0,0,0,0,0,0,155240,4
cpu1,154700,154059,-40,0,0,0,0,0,0,0,0,154700,5
cpu1,154940,155191,-36,0,0,0,0,0,0,0,0,154940,6
cpu1,155090,151830,-39,0,0,10,0,0,0,0,0,155080,7
cpu1,154450,155340,-35,0,0,10,0,0,0,0,0,154440,8
cpu1,155030,153996,-38,0,0,0,0,0,0,0,0,155030,9
