Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu5,156340,106882,-75,0,0,10,0,0,0,0,0,156330,0
cpu5,156280,104493,-47,0,0,0,0,0,0,0,0,156280,1
cpu5,155980,87240,101,0,0,160,0,0,0,0,0,155820,2
cpu5,154990,94723,-52,0,0,10,0,0,0,0,0,154980,3
cpu5,155240,97918,-48,0,0,0,0,0,0,0,0,155240,4
cpu5,154700,99921,-40,0,0,0,0,0,0,0,0,154700,5
cpu5,154940,89149,-36,0,0,0,0,0,0,0,0,154940,6
cpu5,155080,97358,-29,0,0,10,0,0,0,0,0,155070,7
cpu5,154450,99733,-35,0,0,10,0,0,0,0,0,154440,8
cpu5,155030,92115,-38,0,0,0,0,0,0,0,0,155030,9
