Core,Time in Online,Time in Idle,Time in Offline,Start Temperature,Finish Temperature,652800,1036800,1401600,1689600,1804800,1958400,2016000,Launch Number
cpu0,156350,154294,-85,0,0,10,0,0,0,0,0,156340,0
cpu0,156280,155491,-47,0,0,0,0,0,0,0,0,156280,1
cpu0,155970,153650,111,0,0,160,0,0,0,0,0,155810,2
cpu0,154980,152678,-42,0,0,10,0,0,0,0,0,154970,3
cpu0,155240,153488,-48,0,0,0,0,0,0,0,0,155240,4
cpu0,154700,153692,-40,0,0,0,0,0,0,0,0,154700,5
cpu0,154940,153515,-36,0,0,0,0,0,0,0,0,154940,6
cpu0,155090,153622,-39,0,0,10,0,0,0,0,0,155080,7
cpu0,154450,153069,-35,0,0,10,0,0,0,0,0,154440,8
cpu0,155020,153070,-28,0,0,0,0,0,0,0,0,155020,9
